feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
sleep_hours,-0.09418761812759413,-0.1078542577866565,-0.15823286134692235,0.10688199173477518,0.3075619574620787,0.25126662580904024,0.4728251214644249,0.6139965693769609,0.24471797339955814,-0.26077865306125686,-0.07188721392726069,0.2140669434294006,0.0357960366276873,0.0031963289670400557,0.02287380467821951,0.03895249328598606,-0.046881230011039776,-0.018308224604166933,0.0003924852719229127
sleep_midpoint_hours_after_8pm,-0.002390030925128229,-0.12120557646729033,0.08508442728250697,0.25956435733433764,-0.1379676196954722,0.7330742794851244,0.17909167542340848,-0.2562910527644703,0.1469320438553212,0.36975355175879526,0.27789115805300396,-0.07919378691332729,0.07779957566977667,-0.001809207017845241,0.015528686021012622,0.023631876977666846,0.03989436122020769,0.07902654534458348,0.0020763842831880127
steps_total,0.4075908972227102,0.054786955403825416,0.1475593817528393,0.28216715775881596,0.12819912377806264,-0.06823479142568936,0.012784347909381426,0.032013703102399135,-0.030650911004086966,-0.13352275161605537,0.040895932828161646,0.020698389313457372,-0.1743284617890315,-0.22059494934014331,0.2446125089246148,-0.018832705021560883,0.6848421665475087,0.27942121968499933,-0.0006672918384491729
walking_hours,0.3702537373026054,0.23510442054008215,0.17166455932165048,0.30195268780036283,0.021311324157906528,0.1647115215459881,-0.13954506413275855,0.08444435266857468,-0.2362337492867178,-0.18180475524617926,-0.0017839068301588822,0.019296871488002736,-0.01995944927393813,0.04042869521859171,0.1807819277043957,0.021273122163595226,-0.40029649155116803,-0.22352275271180025,0.5460806590730852
running_hours,0.05157405185300981,0.015854534135413184,0.11794244124600031,0.3950516113852153,0.5001874423026116,-0.39128977689350214,0.038808946020162806,-0.22729215697675875,0.46695756587918075,0.30814699567541365,0.0032227360702381034,0.01746820464145591,0.13223322880086552,0.04832607915862743,-0.08223133269936611,-0.008828985215282754,-0.1621892228592871,-0.053976818193225896,0.03808209278161072
biking_hours,0.019721168525895505,0.1682219434015619,-0.060306103546160526,-0.0030836477384073467,-0.10317405441999769,-0.2177835905377414,0.8156400639477428,-0.37838216219720033,-0.2969271883120103,-0.039170270959740676,-0.027839956345728736,0.005840355771435028,-0.018210689913180138,-0.0018682865504782837,0.052813261340676175,0.0004357892698777083,-0.039065758940648294,-0.03738126150646319,0.06776787743096747
vehicle_hours,-0.02409166923304678,0.48378372872710984,-0.07746395518195438,-0.11022722827893888,-0.16504024067243295,0.023028745948852198,0.04510361619032856,0.12117838130842909,0.25907258492132057,0.10228054020952296,-0.04969667860163916,-0.06844213603366137,0.04032146813873656,0.36456321811135706,-0.4043534061043851,-0.07906101191791239,0.3739266503886779,-0.006313033405060002,0.4169599188346623
still_hours,-0.2699117618614082,-0.4719190742216405,-0.08529722475137187,-0.18368402024831665,0.06400486447170903,-0.0990369307253515,-0.000726291314546853,-0.08637644011044637,0.028005981308052503,0.06253215185183741,0.032746855539669564,0.02613593215682806,-0.010602946049424616,-0.24270473748807547,0.08962941631370035,0.03688778027838355,0.0966619606846133,0.18999939429169016,0.7223245347335548
distance_traveled_km,0.0207984820427873,0.3697957447675092,-0.07634681656525678,-0.23089813742134105,-0.27253118390183906,-0.022896089853937505,0.011040011977875117,0.03715197589302425,0.42553379374802847,0.24951075468354683,-0.1367809669473663,0.22946537779857962,-0.08417529294688961,-0.32567443285809183,0.5221962659632062,0.10874400327409031,-0.12236635960250816,-0.0052668740389279906,0.0036491581521223854
location_visits,0.43871274588559833,-0.055449621252158764,0.08365607193228068,-0.20587186364431792,-0.10273108788210059,-0.06367180369193995,0.0786339424668741,0.06952942522063355,0.09253846983888915,-0.007072149418698988,0.09787922401936769,0.07249275152820271,0.042330152496437665,0.06363642221353938,-0.2584502156157835,0.1588913748788445,-0.344457845362205,0.6995720126812345,-0.007996138242212814
home_hours,-0.18827674590082566,-0.26007142065808114,0.19785988861749376,0.31629629754392063,-0.37071863694721896,-0.13310205120418384,0.010096443826849159,0.0340775546869381,0.07563868095714761,-0.006735951709111038,-0.28230314427120357,0.149338430444532,-0.17615569484247903,0.5894759484944082,0.2921681090613443,0.04804261688181548,0.0031977500563361225,0.1653913149317592,0.00010254836436266667
own_dorm_hours,0.2114202093548343,-0.28359241933777596,0.19175270734812702,0.1425075505761437,-0.3991678626748945,-0.050466220406851725,0.09472265762994538,0.031327681381728124,0.21921506074512317,-0.03775411717128789,-0.2772817933248143,0.041416615058465917,-0.23698023766504414,-0.38709319382133317,-0.4539771977997321,-0.07200221859039609,-0.014519919714170172,-0.3168361832921464,0.0024849435948491195
social_hours,0.22221277014742713,-0.08445188924695217,0.019386840214971328,-0.3792064863039099,0.40510854046640393,0.2890542633635618,-0.01872842639505052,-0.29867402198015275,0.0040607753835644215,0.06283829526493782,-0.3783298860855675,0.25291853747721554,-0.4285881642860631,0.2355395076673642,-0.023785316524275058,-0.0122863783016111,0.036556463614420186,-0.09901842085767161,0.0017054037759658828
study_hours,0.25472640694833626,-0.22338153622456106,0.08555783338135296,-0.2573096567163947,-0.109297666711148,-0.15700231882530866,0.054224028558666565,-0.00026757139154472674,0.19064545931387125,-0.10302414702004169,0.651868393006933,0.27359855464351607,-0.0032910562154556356,0.2544298792980213,0.11525010848802976,-0.0689176342659381,0.08691870949039479,-0.367498407591276,0.0038624771739920235
food_hours,0.2912987076144132,-0.20399289500934362,0.12046762482613914,-0.23587126732631386,-0.028101289850849746,0.0620188230448558,0.07050640738565261,-0.05847720872576454,0.1600394784487039,-0.12437706639069561,-0.3663308174804949,-0.35579675403821875,0.634112288418755,0.09702352691463804,0.22210194059971422,-0.047916038656873744,0.10383128435431005,-0.12066841541703247,0.0025761846098356126
other_campus_hours,0.1914087745248728,-0.125661874137001,0.06203873152856458,-0.07381193378380153,0.030542594724908178,-0.12461788329959901,0.0966833928915221,0.45209280217624415,-0.3810473497595223,0.7330958853602513,-0.06081642912886295,0.004820473147332553,0.03306501665931934,0.04435564862889225,0.029909605646157956,-0.03882102618560719,0.05863001517850388,-0.11324724936296747,0.0018419894593491488
screen_time_hours,-0.19694070480923076,0.11904126612942677,0.46309554324874563,-0.04224807732565734,0.015134668967996511,0.06602550206399253,-0.033949487729890246,-0.05899633729125288,-0.15163143526922288,-0.022235607068588584,-0.0784806106026607,0.6268853083842693,0.3985940575343786,-0.1226210165265992,-0.1050078557848233,-0.31793758475931155,0.057883724859570454,0.09782384822824972,-0.00213483529445725
media_playing_hours,-0.16851190472081248,0.0776992344843864,0.5016346337412513,-0.1979720970249897,0.09707463303129368,0.005152285368443964,0.13481751370241973,0.14219285101824106,0.11669682394725843,-0.029551141537027675,0.11070486270675275,-0.43802121209010914,-0.316282479640456,-0.02441416598843313,0.12358609769547171,-0.5106175583045158,-0.14291976733016937,0.10585759341949358,0.00397244281842838
media_sessions,-0.18824699392020197,0.08699355870535122,0.5520508481979852,-0.14257509529677453,0.09102706212988279,9.148396390356599e-05,0.05999116786569381,0.05583091736914704,-0.02142877287254126,-0.030481506762928472,0.048562234756117935,-0.09582837790687647,-0.021251582983757983,-0.029601139616120792,-0.06570090764971247,0.7578556430167094,0.09610588010657453,-0.12141429752713012,-0.0028861818983706208
